register,date,date_src,schema,plan,tier,walk_headers,max_walk,seat_rows,finding_rows,integration_rows,plan_lint_first,plan_lint_mentions,plan_lint_proxy,cycle_check_first,cycle_check_mentions,cycle_check_proxy,fold_check_first,fold_check_mentions,fold_check_proxy,propagation_check_first,propagation_check_mentions,propagation_check_proxy,walk_register_lint_first,walk_register_lint_mentions,walk_register_lint_proxy
walk-register-pt-project-tag-2026-08-26.md,2026-08-26,filename,0.3,governance/knowledge/decisions/drafts/executable-pt-project-tag.md,T1 (Small — four anchored edits on PT; c,3,2,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
walk-register-pt-record-errors-2026-08-26.md,2026-08-26,filename,0.3,governance/knowledge/decisions/drafts/executable-pt-record-errors.md,T1 (Small — four anchored record correct,3,2,0,1,0,,0,0,,0,0,,0,0,,0,0,,0,0
walk-register-pt489-2026-08-15.md,2026-08-15,filename,0.3,,T2 — T-6 (doctrine surface). **Builder l,4,3,0,27,10,0,4,3,,0,0,1,4,3,,0,0,1,2,0
walk-register-qa-corrective-residual-bucket-2026-08-15.md,2026-08-15,filename,0.3,,"T1 — read-only verification, structure-c",4,3,0,24,7,0,3,1,,0,0,0,4,1,,0,0,,0,0
walk-register-reporting-section-render-2026-08-20.md,2026-08-20,filename,0.3,scratchpad/draft-executable-reporting-section-render-2026-08-20.md,"T1 (five-lens, no cold panel) | **Cadenc",4,3,0,2,0,,0,0,,0,0,,0,0,,0,0,,0,0
walk-register-s2-rewrite-2026-08-11.md,2026-08-11,filename,0.1,,,1,0,1,32,5,0,1,0,,0,0,,0,0,,0,0,,0,0
walk-register-stanza-presence-2026-08-27.md,2026-08-27,filename,0.3,bellows/knowledge/decisions/lintmirror-diagnostic-stanza-presence-2026-08-27.md,T1 computed — triggers fired: T-7 (autho,3,2,0,16,4,pre,5,0,2,3,0,,0,0,,0,0,,0,0
walk-register-stub-reframe-buffer-2026-08-13.md,2026-08-13,filename,,,,3,2,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
walk-register-stub-source-reframe-2026-08-13.md,2026-08-13,filename,,,,4,3,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
walk-register-validate-detail-enrich-2026-08-11.md,2026-08-11,filename,0.1,invoice-pulse/knowledge/decisions/drafts/03-executable-validate-detail-enrich-first-2026-08-11.md,,5,2,0,11,2,1,3,1,,0,0,,0,0,,0,0,,0,0
walk-register-verdict-signal-2026-09-01.md,2026-09-01,filename,0.3,bellows/knowledge/decisions/drafts/executable-verdict-signal.md,"T1 — T-1 (six files, one subsystem), T-2",4,2,0,11,4,0,5,3,0,5,3,0,3,0,0,5,2,,0,0
walk-register-walk-register-schema-2026-08-10.md,2026-08-10,filename,0.1,,,8,7,0,54,7,0,3,1,,0,0,,0,0,,0,0,1,1,0
walk-register-wrl-guards-2026-08-13.md,2026-08-13,filename,0.2,,,4,2,0,11,6,,0,0,,0,0,,0,0,,0,0,0,1,0
walk-register-xml-refetch-idempotency-2026-08-14.md,2026-08-14,filename,,,,3,2,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
walk-register-xml-refetch-idempotency-exec-2026-08-14.md,2026-08-14,filename,,,,3,2,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
